arXiv ID,Title,Authors,Subjects,Publication Date,PDF Link,Image Path
arXiv:2502.09430,Analogue of Feigin's map on $\imath$quantum group of split type,"Ming Lu, Shiquan Ruan, Haicheng Zhang",Quantum Algebra (math.QA); Rings and Algebras (math.RA); Representation Theory (math.RT),2025-02-14,https://arxiv.org/pdf/2502.09430,images/arXiv_2502.09430.png
arXiv:2502.09429,Fatigue reliability analysis of offshore wind turbines under combined wind-wave excitation via DPIM,"Jingyi Ding, Hanshu Chen, Xiaoting Liu, Youssef F. Rashed, Zhuojia Fu",Numerical Analysis (math.NA); Computational Physics (physics.comp-ph),2025-02-14,https://arxiv.org/pdf/2502.09429,images/arXiv_2502.09429.png
arXiv:2502.09428,Multicontinuum Modeling of Time-Fractional Diffusion-Wave Equation in Heterogeneous Media,"Huiran Bai, Dmitry Ammosov, Yin Yang, Wei Xie, Mohammed Al Kobaisi",Numerical Analysis (math.NA),2025-02-14,https://arxiv.org/pdf/2502.09428,images/arXiv_2502.09428.png
arXiv:2502.09418,On transfer homomorphisms in commutative rings with zero-divisors,"Aqsa Bashir, Mara Pompili",Commutative Algebra (math.AC),2025-02-14,https://arxiv.org/pdf/2502.09418,images/arXiv_2502.09418.png
arXiv:2502.09415,The spectrum of dense kernel-based random graphs,"Alessandra Cipriani, Rajat Subhra Hazra, Nandan Malhotra, Michele Salvi",Probability (math.PR); Combinatorics (math.CO); Functional Analysis (math.FA),2025-02-14,https://arxiv.org/pdf/2502.09415,images/arXiv_2502.09415.png
arXiv:2502.09414,On the finiteness of maps into simple abelian varieties satisfying certain tangency conditions,Finn Bartsch,Algebraic Geometry (math.AG); Number Theory (math.NT),2025-02-14,https://arxiv.org/pdf/2502.09414,images/arXiv_2502.09414.png
arXiv:2502.09413,Analysis of harmonic average method for interface problems with discontinuous solutions and fluxe,"Kejia Pan, Hengrui Xu, Zhilin Li",Numerical Analysis (math.NA),2025-02-14,https://arxiv.org/pdf/2502.09413,images/arXiv_2502.09413.png
arXiv:2502.09410,Parameter Robust Isogeometric Methods for a Four-Field Formulation of Biot's Consolidation Model,"Hanyu Chu, Luca Franco Pavarino",Numerical Analysis (math.NA),2025-02-14,https://arxiv.org/pdf/2502.09410,images/arXiv_2502.09410.png
arXiv:2502.09406,Stability and minimality of the ball for attractive-repulsive energies with perimeter penalization,"Marco Bonacini, Ihsan Topaloglu",Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09406,images/arXiv_2502.09406.png
arXiv:2502.09400,"New examples of geometrically special varieties: K3 surfaces, Enriques surfaces, and algebraic groups",Finn Bartsch,Algebraic Geometry (math.AG),2025-02-14,https://arxiv.org/pdf/2502.09400,images/arXiv_2502.09400.png
arXiv:2502.09398,Domain Overlapping Algorithm with Nonlinear Mapping for Collocation-Based Solutions of Eigenvalue Problems,"Jinwei Yang, Vinod Srinivasan",Numerical Analysis (math.NA); Mathematical Physics (math-ph); Computational Physics (physics.comp-ph),2025-02-14,https://arxiv.org/pdf/2502.09398,images/arXiv_2502.09398.png
arXiv:2502.09381,Entropy stable reduced order modeling of nonlinear conservation laws using discontinuous Galerkin methods,"Ray Qu, Akil Narayan, Jesse Chan",Numerical Analysis (math.NA),2025-02-14,https://arxiv.org/pdf/2502.09381,images/arXiv_2502.09381.png
arXiv:2502.09380,Beilinson's conjecture on K3 surfaces with an involution,Kalyan Banerjee,Algebraic Geometry (math.AG),2025-02-14,https://arxiv.org/pdf/2502.09380,images/arXiv_2502.09380.png
arXiv:2502.09371,An initial-corrected splitting approach for convection-diffusion-reaction problems,"Thi Tam Dang, Lukas Einkemmer, Alexander Ostermann",Numerical Analysis (math.NA),2025-02-14,https://arxiv.org/pdf/2502.09371,images/arXiv_2502.09371.png
